Format Version,1.1,Take Name,Take 2021-03-01 05.56.04 AM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-03-01 05.56.04.712 AM,Total Frames,2101,Rotation Type,Quaternion

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
26,0.216667,0.004732,-0.357828,0.007217,0.933748,-0.400656,0.419682,0.292864,0.001869,-0.405281,0.505572,0.290398,0.496185,-0.394961,0.330602,0.294161,0.490329,-0.401726,0.422872,0.294033,0.000000,-0.300450,0.001939,0.000048,-0.000422,0.001594,0.000195,-0.000011,0.001421,0.399301,-3.385231,0.724474,-0.447208,-0.405168,0.505042,0.290380,-0.394885,0.330032,0.294181,-0.401735,0.425104,0.293890,,,,,,,,,,,,,,,,,,
27,0.225000,0.006454,-0.387080,0.006873,0.921998,-0.400630,0.419897,0.292771,0.001988,-0.405143,0.505795,0.290360,0.489959,-0.394974,0.330814,0.294069,0.470871,-0.401774,0.423082,0.293883,0.000000,-0.300430,0.002063,0.000018,-0.000382,0.001750,0.000197,0.000034,0.001571,0.399288,-3.385202,0.724491,-0.447175,-0.405149,0.505249,0.290363,-0.394970,0.330154,0.294064,-0.401906,0.425400,0.293772,,,,,,,,,,,,,,,,,,
28,0.233333,-0.015104,0.000531,0.005126,0.999873,-0.400151,0.419405,0.292893,0.000043,-0.405254,0.505266,0.290356,0.922514,-0.395033,0.330287,0.293988,0.937139,-0.400165,0.422662,0.294336,0.883525,-0.300481,0.001988,-0.000009,-0.000390,0.001659,0.000186,0.000002,0.001456,0.399252,-3.385143,0.724474,-0.447179,-0.405258,0.505291,0.290339,-0.395036,0.330300,0.293971,-0.400159,0.422624,0.294371,,,,,,,,,,,,,,,,,,
29,0.241667,0.008918,-0.420101,0.006410,0.907411,-0.400757,0.419753,0.292719,0.002023,-0.405172,0.505661,0.290463,0.492129,-0.395118,0.330668,0.293931,0.478476,-0.401981,0.422931,0.293763,0.000000,-0.300504,0.002011,0.000105,-0.000336,0.001692,0.000232,0.000009,0.001359,0.399270,-3.386168,0.723962,-0.448034,-0.405113,0.505100,0.290470,-0.395056,0.330020,0.293928,-0.402004,0.425316,0.293614,,,,,,,,,,,,,,,,,,
30,0.250000,-0.014341,-0.013837,0.004980,0.999789,-0.400186,0.419238,0.292946,0.000062,-0.405229,0.505103,0.290406,0.824129,-0.395087,0.330119,0.294039,0.909498,-0.400242,0.422493,0.294393,0.896973,-0.300472,0.001968,0.000080,-0.000367,0.001674,0.000283,-0.000096,0.001357,0.399304,-3.386743,0.723481,-0.448764,-0.405227,0.505160,0.290388,-0.395090,0.330094,0.294006,-0.400231,0.422459,0.294439,,,,,,,,,,,,,,,,,,
31,0.258333,0.006016,-0.376515,0.006641,0.926367,-0.400747,0.419786,0.292795,0.002000,-0.405255,0.505686,0.290416,0.492885,-0.395123,0.330701,0.294038,0.481082,-0.401863,0.422973,0.293930,0.000000,-0.300342,0.002044,0.000068,-0.000357,0.001747,0.000231,-0.000085,0.001398,0.399277,-3.386200,0.723897,-0.448078,-0.405292,0.505120,0.290423,-0.395155,0.330058,0.294039,-0.401978,0.425327,0.293756,,,,,,,,,,,,,,,,,,
32,0.266667,0.002855,-0.329330,0.007108,0.944184,-0.400433,0.419674,0.292899,0.001693,-0.405087,0.505561,0.290376,0.491369,-0.394787,0.330591,0.294203,0.475579,-0.401427,0.422870,0.294118,0.000000,-0.300426,0.001917,0.000021,-0.000403,0.001615,0.000178,0.000020,0.001438,0.399309,-3.386714,0.723530,-0.448709,-0.405089,0.505093,0.290379,-0.394786,0.330039,0.294194,-0.401534,0.424855,0.293997,,,,,,,,,,,,,,,,,,
33,0.275000,0.005463,-0.371411,0.006889,0.928427,-0.400564,0.419837,0.292764,0.001954,-0.405106,0.505732,0.290323,0.491853,-0.394920,0.330753,0.294061,0.476597,-0.401668,0.423025,0.293907,0.000000,-0.300435,0.002050,-0.000007,-0.000384,0.001753,0.000155,0.000035,0.001594,0.399270,-3.385015,0.724512,-0.447176,-0.405109,0.505183,0.290334,-0.394917,0.330113,0.294066,-0.401798,0.425312,0.293803,,,,,,,,,,,,,,,,,,
34,0.283333,-0.015310,0.006024,0.004995,0.999852,-0.400123,0.419235,0.292953,0.000058,-0.405218,0.505098,0.290432,0.866217,-0.395032,0.330116,0.294034,0.913894,-0.400120,0.422493,0.294394,0.873452,-0.300497,0.001991,0.000019,-0.000370,0.001689,0.000185,-0.000009,0.001467,0.399277,-3.386683,0.723554,-0.448713,-0.405218,0.505142,0.290426,-0.395034,0.330113,0.294024,-0.400116,0.422451,0.294407,,,,,,,,,,,,,,,,,,
35,0.291667,-0.014433,-0.006191,0.004698,0.999866,-0.400189,0.419243,0.292923,0.000083,-0.405202,0.505111,0.290439,0.821335,-0.395144,0.330120,0.293960,0.874897,-0.400220,0.422498,0.294369,0.804653,-0.300487,0.001936,0.000034,-0.000387,0.001612,0.000231,-0.000037,0.001327,0.399267,-3.386235,0.723898,-0.448059,-0.405206,0.505171,0.290441,-0.395142,0.330126,0.293967,-0.400216,0.422433,0.294364,,,,,,,,,,,,,,,,,,
